response_id,item,domain,scorer_type,llm_1,llm_2,llm_3,llm_avg,model_size,model_name,rubric_type
589,8,ELA,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
37,1,ELA,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
169,3,ELA,basic,1,1,1,1,Small,Gemini 1.5 Flash,Empty
85,2,ELA,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
672,9,ELA,criteria_examples,1,1,1,1,Frontier,OpenAI o1,Full
328,5,ELA,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
579,8,ELA,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
558,17,Math,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
573,8,ELA,basic,0,0,0,0,Small,Llama 3.1 8b,Empty
484,7,ELA,criteria,0,0,1,0,Small,Llama 3.1 8b,Criteria Only
286,14,Math,criteria_examples,0,0,0,0,Large,Llama 3.1 405b,Full
541,17,Math,criteria,1,1,1,1,Large,Gemini 1.5 Pro,Criteria Only
242,4,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
760,10,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
262,4,ELA,criteria,1,1,1,1,Frontier,OpenAI o1,Criteria Only
723,10,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 8b,Full
640,18,Math,criteria,1,1,1,1,Large,Llama 3.1 405b,Criteria Only
773,20,Math,criteria,0,0,0,0,Small,Gemini 1.5 Flash 8b,Criteria Only
376,15,Math,criteria,0,0,0,0,Large,Llama 3.1 405b,Criteria Only
194,3,ELA,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
721,10,ELA,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
728,10,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
212,13,Math,criteria,1,0,0,0,Small,Gemini 1.5 Flash 8b,Criteria Only
86,2,ELA,criteria,1,1,1,1,Small,Llama 3.1 8b,Criteria Only
625,18,Math,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
22,1,ELA,criteria,1,1,1,1,Small,Gemini 1.5 Flash,Criteria Only
285,14,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash 8b,Full
29,1,ELA,basic,1,1,1,1,Large,GPT-4o,Empty
295,14,Math,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
661,9,ELA,criteria_examples,1,1,1,1,Frontier,OpenAI o1,Full
285,14,Math,basic,0,0,1,0,Small,Claude 3.5 Haiku,Empty
760,10,ELA,criteria,0,1,1,1,Small,Llama 3.1 70b,Criteria Only
482,7,ELA,basic,0,0,0,0,Small,Llama 3.1 70b,Empty
742,10,ELA,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
243,4,ELA,criteria,0,0,0,0,Small,Llama 3.1 70b,Criteria Only
280,4,ELA,criteria_examples,1,1,1,1,Large,GPT-4o,Full
255,4,ELA,criteria_examples,0,0,0,0,Large,Llama 3.1 405b,Full
612,18,Math,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
79,11,Math,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
355,5,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 70b,Full
178,3,ELA,basic,0,0,1,0,Large,Llama 3.1 405b,Empty
383,15,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
182,3,ELA,criteria,1,1,1,1,Frontier,OpenAI o1,Criteria Only
454,16,Math,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
53,11,Math,criteria_examples,0,0,0,0,Large,Llama 3.1 405b,Full
592,8,ELA,criteria_examples,0,0,1,0,Large,GPT-4o,Full
99,2,ELA,criteria,0,0,0,0,Small,Gemini 1.5 Flash,Criteria Only
703,19,Math,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
593,8,ELA,criteria,1,1,1,1,Small,GPT-4o mini,Criteria Only
754,10,ELA,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
8,1,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 70b,Full
606,18,Math,basic,1,0,0,0,Small,Llama 3.1 8b,Empty
80,11,Math,basic,1,1,1,1,Large,Gemini 1.5 Pro,Empty
50,11,Math,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
711,19,Math,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
303,14,Math,criteria_examples,1,1,1,1,Large,GPT-4o,Full
385,15,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
515,7,ELA,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
778,20,Math,criteria_examples,0,0,0,0,Small,Llama 3.1 70b,Full
76,11,Math,criteria,1,1,0,1,Small,GPT-4o mini,Criteria Only
520,7,ELA,criteria,1,1,1,1,Large,Llama 3.1 405b,Criteria Only
796,20,Math,criteria_examples,1,1,1,1,Large,GPT-4o,Full
468,16,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
8,1,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 8b,Full
63,11,Math,criteria,1,0,1,1,Small,Claude 3.5 Haiku,Criteria Only
536,17,Math,criteria,1,0,0,0,Small,Llama 3.1 70b,Criteria Only
120,2,ELA,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash,Full
346,5,ELA,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash,Full
467,16,Math,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
228,13,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
22,1,ELA,criteria_examples,1,1,1,1,Frontier,OpenAI o1,Full
697,19,Math,basic,0,0,0,0,Large,Llama 3.1 405b,Empty
297,14,Math,basic,0,0,0,0,Small,Gemini 1.5 Flash,Empty
666,9,ELA,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
347,5,ELA,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
18,1,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash 8b,Empty
247,4,ELA,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
669,9,ELA,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash,Full
88,2,ELA,basic,0,0,0,0,Small,Llama 3.1 8b,Empty
788,20,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
304,14,Math,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
759,10,ELA,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
682,19,Math,basic,0,0,0,0,Small,Claude 3.5 Haiku,Empty
791,20,Math,criteria_examples,1,1,1,1,Small,Llama 3.1 70b,Full
631,18,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash 8b,Criteria Only
282,14,Math,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
671,9,ELA,basic,1,0,1,1,Small,Llama 3.1 70b,Empty
757,10,ELA,basic,1,1,1,1,Frontier,OpenAI o1,Empty
65,11,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash 8b,Criteria Only
724,10,ELA,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
396,15,Math,basic,1,1,1,1,Large,Gemini 1.5 Pro,Empty
558,17,Math,basic,0,0,0,0,Frontier,OpenAI o1,Empty
40,1,ELA,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
163,3,ELA,criteria_examples,1,1,0,1,Small,Gemini 1.5 Flash 8b,Full
46,11,Math,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
788,20,Math,criteria,1,1,1,1,Large,GPT-4o,Criteria Only
413,6,ELA,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
59,11,Math,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
780,20,Math,basic,0,0,0,0,Small,Gemini 1.5 Flash,Empty
747,10,ELA,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
259,4,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash,Empty
468,16,Math,criteria,1,1,1,1,Large,Claude 3.5 Sonnet,Criteria Only
738,10,ELA,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
657,9,ELA,basic,0,0,0,0,Large,Llama 3.1 405b,Empty
516,7,ELA,criteria,1,1,1,1,Small,Claude 3.5 Haiku,Criteria Only
799,20,Math,criteria,1,1,1,1,Large,Llama 3.1 405b,Criteria Only
759,10,ELA,criteria,1,1,1,1,Small,Llama 3.1 8b,Criteria Only
665,9,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 8b,Full
508,7,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 70b,Full
164,3,ELA,basic,0,0,0,0,Large,GPT-4o,Empty
371,15,Math,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
552,17,Math,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
41,11,Math,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
638,18,Math,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
711,19,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
382,15,Math,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
794,20,Math,criteria,1,1,1,1,Large,GPT-4o,Criteria Only
158,12,Math,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
265,4,ELA,criteria,1,1,1,1,Small,Gemini 1.5 Flash,Criteria Only
248,4,ELA,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash,Full
200,3,ELA,criteria_examples,1,1,1,1,Frontier,OpenAI o1,Full
362,15,Math,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
681,19,Math,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
289,14,Math,basic,0,0,0,0,Small,Gemini 1.5 Flash,Empty
348,5,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash 8b,Empty
542,17,Math,basic,1,1,1,1,Large,Gemini 1.5 Pro,Empty
360,5,ELA,criteria_examples,1,1,1,1,Large,Claude 3.5 Sonnet,Full
713,19,Math,criteria_examples,1,1,1,1,Large,Claude 3.5 Sonnet,Full
378,15,Math,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
206,13,Math,criteria_examples,1,1,0,1,Large,Gemini 1.5 Pro,Full
131,12,Math,basic,0,0,0,0,Frontier,OpenAI o1,Empty
658,9,ELA,criteria,0,0,0,0,Small,Llama 3.1 8b,Criteria Only
772,20,Math,basic,0,0,0,0,Frontier,OpenAI o1,Empty
454,16,Math,criteria_examples,1,0,0,0,Small,Llama 3.1 70b,Full
275,4,ELA,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
357,5,ELA,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
291,14,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash 8b,Full
681,19,Math,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
750,10,ELA,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
674,9,ELA,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
330,5,ELA,basic,0,0,0,0,Small,GPT-4o mini,Empty
310,14,Math,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
172,3,ELA,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
691,19,Math,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
752,10,ELA,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
404,6,ELA,basic,0,0,0,0,Small,Llama 3.1 70b,Empty
104,2,ELA,basic,1,1,1,1,Small,GPT-4o mini,Empty
356,5,ELA,criteria_examples,1,1,0,1,Small,Llama 3.1 8b,Full
12,1,ELA,basic,0,0,0,0,Small,Claude 3.5 Haiku,Empty
590,8,ELA,criteria,1,1,1,1,Large,Claude 3.5 Sonnet,Criteria Only
550,17,Math,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
126,12,Math,basic,0,0,1,0,Small,Llama 3.1 8b,Empty
321,5,ELA,criteria_examples,0,0,0,0,Large,GPT-4o,Full
760,10,ELA,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
724,10,ELA,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
799,20,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash 8b,Criteria Only
487,7,ELA,criteria,0,0,0,0,Small,Gemini 1.5 Flash 8b,Criteria Only
727,10,ELA,criteria_examples,0,0,0,0,Large,Gemini 1.5 Pro,Full
92,2,ELA,basic,0,0,0,0,Small,Llama 3.1 8b,Empty
313,14,Math,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
747,10,ELA,criteria,1,1,1,1,Small,Claude 3.5 Haiku,Criteria Only
139,12,Math,criteria,0,0,0,0,Large,GPT-4o,Criteria Only
592,8,ELA,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
226,13,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
253,4,ELA,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
62,11,Math,criteria,1,1,1,1,Large,Claude 3.5 Sonnet,Criteria Only
512,7,ELA,basic,1,1,1,1,Small,Llama 3.1 8b,Empty
241,4,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash 8b,Empty
556,17,Math,criteria_examples,1,1,1,1,Small,Claude 3.5 Haiku,Full
728,10,ELA,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
456,16,Math,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
295,14,Math,criteria,0,0,0,0,Small,GPT-4o mini,Criteria Only
718,19,Math,basic,1,1,1,1,Large,GPT-4o,Empty
242,4,ELA,criteria_examples,0,0,0,0,Large,GPT-4o,Full
35,1,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 8b,Full
361,15,Math,criteria,0,0,0,0,Large,Gemini 1.5 Pro,Criteria Only
379,15,Math,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
495,7,ELA,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
692,19,Math,criteria,0,0,0,0,Large,Llama 3.1 405b,Criteria Only
702,19,Math,basic,1,1,1,1,Large,GPT-4o,Empty
46,11,Math,basic,0,0,0,0,Small,GPT-4o mini,Empty
523,17,Math,criteria_examples,0,0,0,0,Large,Gemini 1.5 Pro,Full
549,17,Math,criteria,1,0,1,1,Large,Claude 3.5 Sonnet,Criteria Only
782,20,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
344,5,ELA,criteria_examples,1,1,1,1,Frontier,OpenAI o1,Full
645,9,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
105,2,ELA,criteria,1,1,1,1,Small,Claude 3.5 Haiku,Criteria Only
430,6,ELA,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
210,13,Math,basic,0,0,0,0,Large,Llama 3.1 405b,Empty
134,12,Math,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
225,13,Math,basic,1,1,1,1,Frontier,OpenAI o1,Empty
617,18,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash,Full
454,16,Math,criteria,0,0,0,0,Large,GPT-4o,Criteria Only
170,3,ELA,criteria,0,0,0,0,Small,Gemini 1.5 Flash 8b,Criteria Only
367,15,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash,Full
683,19,Math,basic,0,0,0,0,Small,Llama 3.1 8b,Empty
770,20,Math,criteria,0,0,0,0,Large,Llama 3.1 405b,Criteria Only
200,3,ELA,criteria,1,1,1,1,Large,GPT-4o,Criteria Only
82,2,ELA,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
327,5,ELA,criteria_examples,0,0,0,0,Large,GPT-4o,Full
26,1,ELA,criteria,1,1,1,1,Frontier,OpenAI o1,Criteria Only
350,5,ELA,basic,1,1,1,1,Small,Llama 3.1 8b,Empty
644,9,ELA,basic,0,0,0,0,Small,Llama 3.1 70b,Empty
758,10,ELA,basic,1,0,0,0,Small,Llama 3.1 8b,Empty
434,6,ELA,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
62,11,Math,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
419,6,ELA,criteria,0,0,0,0,Large,Gemini 1.5 Pro,Criteria Only
493,7,ELA,criteria,0,0,0,0,Small,Llama 3.1 8b,Criteria Only
764,20,Math,basic,0,0,0,0,Small,Llama 3.1 70b,Empty
49,11,Math,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
79,11,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash,Full
599,8,ELA,criteria,1,1,1,1,Frontier,OpenAI o1,Criteria Only
471,16,Math,criteria,1,1,1,1,Large,Gemini 1.5 Pro,Criteria Only
635,18,Math,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
490,7,ELA,criteria_examples,0,0,0,0,Large,GPT-4o,Full
80,11,Math,criteria_examples,1,1,0,1,Small,Llama 3.1 70b,Full
625,18,Math,criteria_examples,1,1,1,1,Large,Llama 3.1 405b,Full
447,16,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash,Full
765,20,Math,basic,0,0,0,0,Small,Llama 3.1 8b,Empty
563,8,ELA,criteria,0,0,0,0,Small,Gemini 1.5 Flash,Criteria Only
724,10,ELA,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
742,10,ELA,basic,1,1,1,1,Large,Claude 3.5 Sonnet,Empty
657,9,ELA,criteria,0,0,0,0,Large,Llama 3.1 405b,Criteria Only
787,20,Math,criteria,1,1,1,1,Large,GPT-4o,Criteria Only
501,7,ELA,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
686,19,Math,criteria,0,0,0,0,Large,GPT-4o,Criteria Only
712,19,Math,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
756,10,ELA,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
455,16,Math,basic,1,1,0,1,Small,Gemini 1.5 Flash,Empty
705,19,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
386,15,Math,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
575,8,ELA,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
664,9,ELA,criteria,1,1,1,1,Large,Claude 3.5 Sonnet,Criteria Only
602,18,Math,criteria,0,1,0,0,Small,Gemini 1.5 Flash,Criteria Only
135,12,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
773,20,Math,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
322,5,ELA,criteria,0,0,0,0,Small,Gemini 1.5 Flash 8b,Criteria Only
780,20,Math,basic,0,0,0,0,Small,GPT-4o mini,Empty
210,13,Math,criteria,0,0,0,0,Large,Llama 3.1 405b,Criteria Only
224,13,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
713,19,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
309,14,Math,criteria,1,1,1,1,Small,Claude 3.5 Haiku,Criteria Only
619,18,Math,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
232,13,Math,criteria,1,1,1,1,Small,Llama 3.1 8b,Criteria Only
363,15,Math,criteria,0,0,0,0,Small,Llama 3.1 70b,Criteria Only
32,1,ELA,criteria,1,1,1,1,Small,Llama 3.1 8b,Criteria Only
242,4,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 8b,Full
795,20,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash,Full
360,5,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 8b,Full
79,11,Math,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
361,15,Math,criteria_examples,0,0,0,0,Large,GPT-4o,Full
781,20,Math,criteria,1,1,1,1,Small,GPT-4o mini,Criteria Only
589,8,ELA,criteria,1,1,1,1,Large,Llama 3.1 405b,Criteria Only
786,20,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
787,20,Math,criteria,1,1,1,1,Frontier,OpenAI o1,Criteria Only
708,19,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
619,18,Math,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
641,9,ELA,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
33,1,ELA,criteria,1,1,1,1,Large,Claude 3.5 Sonnet,Criteria Only
467,16,Math,criteria,1,1,1,1,Large,GPT-4o,Criteria Only
496,7,ELA,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
361,15,Math,basic,0,0,0,0,Large,Gemini 1.5 Pro,Empty
298,14,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash 8b,Full
47,11,Math,criteria_examples,0,0,0,0,Large,Llama 3.1 405b,Full
204,13,Math,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
648,9,ELA,basic,0,0,0,0,Small,GPT-4o mini,Empty
456,16,Math,criteria,0,0,0,0,Frontier,OpenAI o1,Criteria Only
560,17,Math,criteria_examples,1,1,1,1,Large,Claude 3.5 Sonnet,Full
290,14,Math,criteria_examples,0,0,0,0,Large,Llama 3.1 405b,Full
771,20,Math,criteria,0,0,0,0,Small,GPT-4o mini,Criteria Only
202,13,Math,criteria,0,0,0,0,Large,Gemini 1.5 Pro,Criteria Only
691,19,Math,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
481,7,ELA,criteria_examples,0,0,0,0,Large,Gemini 1.5 Pro,Full
491,7,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash,Empty
125,12,Math,criteria,0,0,0,0,Small,Llama 3.1 70b,Criteria Only
550,17,Math,basic,1,1,1,1,Frontier,OpenAI o1,Empty
581,8,ELA,basic,1,1,1,1,Small,Gemini 1.5 Flash,Empty
276,4,ELA,criteria,1,1,1,1,Large,Llama 3.1 405b,Criteria Only
124,12,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
211,13,Math,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
389,15,Math,criteria_examples,0,1,1,1,Small,Llama 3.1 8b,Full
765,20,Math,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash,Full
701,19,Math,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
118,2,ELA,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
706,19,Math,basic,1,1,1,1,Small,Llama 3.1 70b,Empty
25,1,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 8b,Full
172,3,ELA,basic,0,0,0,0,Small,GPT-4o mini,Empty
180,3,ELA,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
217,13,Math,criteria,0,0,0,0,Small,Llama 3.1 70b,Criteria Only
354,5,ELA,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
380,15,Math,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
22,1,ELA,basic,1,1,1,1,Small,Gemini 1.5 Flash,Empty
183,3,ELA,criteria,1,1,1,1,Small,Claude 3.5 Haiku,Criteria Only
193,3,ELA,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
663,9,ELA,basic,1,1,1,1,Small,GPT-4o mini,Empty
148,12,Math,basic,1,1,1,1,Small,Llama 3.1 8b,Empty
634,18,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash,Criteria Only
190,3,ELA,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
259,4,ELA,criteria,0,0,0,0,Small,GPT-4o mini,Criteria Only
342,5,ELA,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
161,3,ELA,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
462,16,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash,Criteria Only
557,17,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
488,7,ELA,criteria,0,0,0,0,Large,GPT-4o,Criteria Only
784,20,Math,criteria_examples,1,1,1,1,Large,Gemini 1.5 Pro,Full
740,10,ELA,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
52,11,Math,basic,0,0,0,0,Large,GPT-4o,Empty
360,5,ELA,basic,1,1,1,1,Frontier,OpenAI o1,Empty
179,3,ELA,criteria_examples,0,0,0,0,Small,Llama 3.1 70b,Full
54,11,Math,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
640,18,Math,criteria,1,1,1,1,Small,Gemini 1.5 Flash 8b,Criteria Only
692,19,Math,criteria,1,0,0,0,Small,Llama 3.1 8b,Criteria Only
462,16,Math,criteria_examples,1,1,1,1,Small,GPT-4o mini,Full
59,11,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
141,12,Math,criteria,1,1,1,1,Small,Llama 3.1 70b,Criteria Only
678,9,ELA,basic,1,1,1,1,Small,Claude 3.5 Haiku,Empty
126,12,Math,criteria_examples,0,0,0,0,Large,Gemini 1.5 Pro,Full
268,4,ELA,criteria_examples,1,1,1,1,Large,Llama 3.1 405b,Full
101,2,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 8b,Full
456,16,Math,criteria_examples,0,0,0,0,Large,Gemini 1.5 Pro,Full
713,19,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash,Empty
129,12,Math,basic,0,0,0,0,Small,Claude 3.5 Haiku,Empty
657,9,ELA,criteria_examples,0,0,0,0,Small,Gemini 1.5 Flash 8b,Full
709,19,Math,criteria_examples,1,1,1,1,Small,Gemini 1.5 Flash 8b,Full
211,13,Math,criteria,0,0,1,0,Large,GPT-4o,Criteria Only
