domain,item,question,criteria_for_scoring,correct_answer_examples,incorrect_answer_examples,short_description,response_length,cognitive_demand,answer_scope,scoring_subjectivity
Math,11,"List 5 monomials that are factors of 14xy^4.
","- Student lists five monomials, or single term items consisting of a constant, coefficient, a variable or variables, and exponents for each variable
- Correct monomials will include a combination of one or more of the following:
  - Possible coefficients include positive or negative: 1, 2, 7, 14
  - Possible variables include x and y
  - Possible exponents for each variable include:
    - For x: 1
    - For y: 1, 2, 3 or 4
    - Exponent of 1 for x and/or y can be explicitly listed or not
- 14xy^4 should be divisible by each student response exactly with no remainder
","1
-1
2
-2
7
-7
14
-14
x
y
y^2
y^3
y^4
Combination of one of the constants, x variable, and/or y variables (i.e. 7x, 14y^2, 2xy^4)
","4
10
x^2
x^3
x^4
14 + x
",Identify 5 monomial factors of a polynomial with two variables,Shorter,Low,Broad,Low
Math,12,"Write an equation in one variable that has infinitely many solutions.
","- Student creates an equation in one variable which, when simplified using properties of equality, results in either a variable equal to itself or a constant equal to itself (i.e. x = x or 2 = 2)
- In the original equation, any value chosen for the variable will make the equation true
","2x + 5 = 2x + 5
-4y = -4y
7f - 10 - 7f = -10
","2x + 5 = -2x + 5
-4y = 4y
7f - 10 + 7f = -10
",Write an equation with infinite solutions,Shorter,Low,Broad,Low
Math,13,"Write a fifth-degree polynomial with 4 terms in standard form.
","- Student includes 4 terms
  - A term is a number, variable, or the product of one or more variables
  - Each term is separated by + or - signs
- Student writes in standard form
  - A polynomial is in standard form when terms are in descending order by degree
    - A constant term has a degree of 0
  - If multiple variables are included in a single term, sum the exponents of the variables to find the degree of the term (i.e. 2(a^2)(b^2) has a degree of 4)
- Student writes a leading term with a degree of 5
","-5p^5 + 2p^2 - 3p + 1
4x^5 + 6x^4 - 9x^2 + x
y^5 + y^4 + y^3 + y^2
4w^5 + 6x^4 - 9y^2 + z
-2(a^4)(b) + 2(a^2)(b^2) - 3a + 1
","-5p^5 + 4p^4 - 3p^3 - 2p^2 - 3p + 1
y^2 + y^3 + y^4 + y^5
-2(a^5)(b) + 2(a^2)(b^2) - 3a + 1
",Write a polynomial in proper form,Shorter,Low,Broad,Low
Math,14,"In the following expression, both A and B are variables that can take positive values:

A + (2/B)

Using the actions “keep constant”, “increase” or “decrease”, name a combination of actions that can be applied to A and B that will cause the expression’s value to increase.
","- Student uses the actions “keep constant”, “increase” or “decrease”
- Student must identify which variable they are keeping constant, increasing, or decreasing
- Student recognizes that, when B remains constant, increasing A increases the value of the expression
- Student recognizes that, when A remains constant, decreasing B increases the value of the expression
- Student recognizes that increasing A and decreasing B increases the value of the expression
","Keep A constant and decrease B
Increase A and keep B constant
Increase A and decrease B
","Keep A constant and increase B
Decrease A and keep B constant
",Identify two ways to increase value of expression by changing two variables,Shorter,Low,Narrow,Low
Math,15,"Name the variable you would eliminate first, and list any actions you would take to eliminate that variable in the given system of equations.

2x + 3y = -5

2x - 3y = 10
","- Student names the variable that they wish to eliminate
- Student describes a method of solving systems of equations that includes substitution or elimination
- Substitution includes expressing one variable in terms of the other in one of the equations and then substituting the resulting expression into the other equation
- Elimination includes 
  - Adding equations together when the coefficients of one of the variables are opposites
  - Subtracting one of the equations from the other when the coefficients of one of the variables are the same
  - If the coefficients of either of the variables are not initially opposites or the same, the student must multiply one or both of the equations by a number to create variables that are opposites or the same
","Add the equations (eliminates y)
Subtract one equation from the other (eliminates x)
Multiply one equation by -1, then add the equations (eliminates x)
Rearrange one equation to isolate x, then substitute the resulting expression into the other equation (eliminates x)
","Multiply one equation by a constant other than -1, then add the equations
",Identify approach for solving a system of simple equations,Longer,Low,Moderate,Low
Math,16,"A movie theatre admission ticket costs $14.89. If t is the number of tickets purchased, then the total purchase price is represented by the function c(t) = 14.89t. Explain why c is a function.
","- Student recognizes and explains the one-to-one correspondence that defines a function, in terms of the context of the problem
  - Each element of the domain, or the input values of number of tickets purchased, corresponds to exactly one element of the range, or the output values of the total purchase price
  - A given number of tickets will only have one total cost
","In a function, each input value produces exactly one output value. In this example, the number of tickets is the input and the total cost is the output. For any number of tickets purchased, multiplying by the single ticket cost of $14.89 produces only one total cost value. 
","This is a function because it is written in function notation, c(t).    
",Explain why a given function is a function,Longer,Low,Moderate,High
Math,17,"Give the measurements of a specific triangle that would make the following statement false, and explain your choice.

""The angle bisector of any angle on a triangle bisects the triangle's third side.""
","- Student gives measurements that form a triangle.
  - There must be at least 3 measurements (side lengths and/or angle measures)
  - If giving three angle measures, they add up to 180 degrees.
  - If giving side lengths, then the sum of any 2 side lengths is greater than the third length.
- The triangle is non-equilateral.
- The student describes an angle bisector that is NOT between congruent sides that does not bisect the opposite side.
  - This is equivalent to saying that the angle bisector does NOT pass through the midpoint of the third side.
","A triangle with sides 3, 4, and 5 units long. The angle bisector of the right angle is too close to the shortest side to bisect the hypotenuse.

A triangle with 40, 40, and 100 degree angle measures. The vertex angle bisector bisects the base, but the base angle bisectors don't bisect the other sides.
","A triangle with side lengths of 3 cm, 3 cm, and 3 cm.

A triangle with three 60 degree angles.

There is none, because an angle bisector always goes through the third side of the triangle.
",Give triangle measurements that falsify a statement about angle bisectors,Longer,High,Broad,Low
Math,18,"Write a real-world context to correspond to the equation y=-5(x+1)(x-9).  In your context, make sure to describe the meaning of at least two key points on the graph, such as the vertex or an intercept.
","- Student describes what each variable in the equation represents.
- The student interprets at least 2 points that would satisfy the equation, especially the meanings of the x- or y-intercepts or the vertex.
- The context makes sense with a positive y-intercept, increasing toward a maximum value, and decreasing faster and faster after reaching the maximum value.
- The context does NOT have to have realistic measurements (e.g. correct acceleration due to gravity on Earth), because the student does not have access to reference materials.
","This equation models a parabola that opens down. If this models a scenario where someone throws a ball off of the roof of a building, x represents time in seconds after the ball is thrown, and y represents height in feet above the ground. The y-intercept is 45 [y = -5(0 + 1)(0 - 9)], and represents a starting height of the ball on the roof. The x-intercepts are -1 and 9 [0 = -5(x + 1)(x - 9)]; since x represents time which cannot be negative, the x-intercept of 9 is the only relevant one and represents the amount of time in seconds it takes the ball to hit the ground. The vertex, or the maximum y-value, is 125 [the midpoint of the x-intercepts in 4, y = -5(4 + 1)(4 - 9)] and represents the maximum height that the ball reaches above the ground.
","Someone throws a ball off of the roof of a building. The roof is 5 meters above the ground and the ball is at ground level after 1 second and 9 seconds.
",Describe a real-world context and key points for an equation of an inverted parabola,Longer,High,Broad,High
Math,19,"Clem buys a bag of candy for a Halloween carnival. He hands out the same number of candies per person at his booth. The function c(x)  = 195 - 3x describes the number c(x) of candies remaining in the bag after x people visit Clem’s booth. 

What is the meaning of the value of c(0) in this context?
","- Student recognizes that 0 is the input value that corresponds with an output value of 195 [found by c(x)  = 195 - 3(0)]
  - The input value, x, represents the number of people that have visited Clem’s booth. With a value of 0, this means that nobody has visited the booth.
  - The output value, c(x), represents the number of candies remaining in the bag. With a value of 195, this means that 195 candies remain.
  - Before anyone visits the booth, Clem has 195 pieces of candy.
","Before anyone visits Clem’s booth, he starts with 195 pieces of candy.    
","There is no candy left in the bag after 65 people visit the booth.

There were 65 pieces of candy in the bag before anyone visited the booth.

There is no candy left in the bag after 195 people visit the booth.
",Interpret the meaning of c(0) for a given function in a real-world scenario,Longer,High,Moderate,Low
Math,20,"Taylor is making friendship bracelets that she plans to sell on an Etsy shop next year. In addition to her current stock of bracelets, she wants to consistently make bracelets to add to her shop each month. The expression 50m + 230 represents the total number bracelets available to sell after m months.

Explain what the values in the expression mean in the real-world scenario.
","- Student recognizes that the coefficient of m, 50, represents a rate. In the context of the problem, the rate is the number of bracelets added to the shop each month.
- Student recognizes that the constant term 230 represents a starting point before any time elapses. In the context of the problem, the starting point is the current stock of bracelets.
","The coefficient of m, 50, represents the number of bracelets that Taylor makes monthly. The term 230 represents the current stock of bracelets before adding to the stock monthly.
",Taylor makes bracelets for 50 months and ends up with 230 bracelets in total.,Explain values of an expression in a real-world scenario,Longer,High,Moderate,Low
