response_id,item,domain,scorer_type,model_size,model_name,rubric_type,"model_size == ""New""",model_rubric,llm_1,llm_2,llm_3,llm_avg,human_1,human_2,human_3,human_avg
724,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
728,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
344,5,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
645,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
134,12,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
225,13,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
26,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
599,8,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
773,20,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
787,20,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
456,16,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
550,17,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
360,5,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
388,15,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
44,11,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
474,16,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
51,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
485,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
299,14,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
369,15,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
357,5,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
232,13,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,0,1,1,1
729,10,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,1,0,0
308,14,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
11,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
114,2,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
391,15,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,1,0,1,1
280,4,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
791,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
326,5,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
277,4,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,1,1,1,1
10,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
655,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
651,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
203,13,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,1,0,0,0,0,0
426,6,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
715,19,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
68,11,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
47,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
566,8,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
440,6,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
793,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,0,1,1,1
658,9,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
477,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
394,15,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
452,16,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,0,1,0,0
142,12,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
684,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
557,17,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,0,1
131,12,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
114,2,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
381,15,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
752,10,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,0,0,0,0
48,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
367,15,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,0,1,1
517,7,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
554,17,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,1,0
548,17,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,1,0,0,0
477,16,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
501,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
274,4,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
83,2,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
410,6,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,0,0,0
648,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
295,14,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
681,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
439,6,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
674,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
77,11,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
748,10,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
212,13,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
186,3,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
511,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
79,11,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
605,18,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
187,3,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
708,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
291,14,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
18,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
457,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
712,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
81,2,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
678,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,0,1
619,18,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
575,8,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
762,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,1,0,0,0,0,0,0
622,18,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
758,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
97,2,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
88,2,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
601,18,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
683,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
20,1,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
472,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
606,18,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
122,12,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
122,12,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
525,17,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
693,19,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
483,7,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
42,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,0,0,0
230,13,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
26,1,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
211,13,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
496,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
688,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
405,6,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
147,12,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
664,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
670,9,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
224,13,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
775,20,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
127,12,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
719,19,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
397,15,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
785,20,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
192,3,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
677,9,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
714,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
334,5,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,1,1,1,1
267,4,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
272,4,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
488,7,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
241,4,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
738,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
21,1,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
633,18,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
192,3,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
56,11,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
509,7,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,0,1,0,0
493,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
660,9,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,0,1
635,18,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
637,18,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
771,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
421,6,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,0,0,0
29,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
105,2,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
253,4,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
87,2,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
559,17,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
385,15,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
591,8,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
216,13,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,0,0,0
33,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
513,7,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
188,3,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
454,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,0,0,0,0
433,6,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
571,8,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
565,8,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
749,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
21,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
255,4,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
38,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
792,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
693,19,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
554,17,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,1,0
66,11,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
566,8,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
27,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,0,1,1,1
108,2,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
650,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
785,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
505,7,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
568,8,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
64,11,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
39,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
622,18,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
327,5,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
165,3,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
206,13,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,0,1,1
115,2,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
457,16,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
325,5,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
168,3,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
239,13,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
37,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
618,18,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
32,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
140,12,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
643,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
443,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
299,14,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
339,5,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
714,19,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
312,14,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
429,6,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
146,12,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
744,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
563,8,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
764,20,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
739,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
323,5,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
662,9,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
752,10,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,0,0,0,0
441,16,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,1,0,0,0,0,0
135,12,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
23,1,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
56,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
76,11,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
